Time,PID,Tickets,Pass,Stride,Runtime
5431,16,32,24847,32,331
5431,17,8,24838,128,82
5431,18,2,24891,512,20
5431,19,8,24838,128,82
5431,20,8,24838,128,82
5602,1,8,512,128,24
5602,2,8,640,128,18
5602,5,1,25872,1024,24
5602,4,8,8845,128,5635
5602,6,2,25885,512,49
5602,7,4,25675,256,98
5602,8,8,25472,128,195
5602,9,16,25455,64,390
5602,10,32,25460,32,780
5602,11,32,25437,32,779
5602,12,32,25459,32,774
5602,13,32,25469,32,774
5602,14,32,25446,32,773
5602,15,32,25449,32,350
5602,16,32,25455,32,350
5602,17,8,25478,128,87
5602,18,2,25915,512,22
5602,19,8,25478,128,87
5602,20,8,25478,128,87
5773,1,8,512,128,24
5773,2,8,640,128,18
5773,5,1,26896,1024,25
5773,4,8,8995,128,5806
5773,6,2,26397,512,50
5773,7,4,26187,256,100
5773,8,8,26112,128,200
5773,9,16,26095,64,400
5773,10,32,26068,32,799
5773,11,32,26077,32,799
5773,12,32,26067,32,793
5773,13,32,26077,32,793
5773,14,32,26086,32,793
5773,15,32,26089,32,370
5773,16,32,26063,32,369
5773,17,8,26118,128,92
5773,18,2,26427,512,23
5773,19,8,26118,128,92
5773,20,8,26118,128,92
5944,1,8,512,128,24
5944,2,8,640,128,18
5944,5,1,26896,1024,25
5944,4,8,9145,128,5977
5944,6,2,26909,512,51
5944,7,4,26699,256,102
5944,8,8,26752,128,205
5944,9,16,26735,64,410
5944,10,32,26708,32,819
5944,11,32,26685,32,818
5944,12,32,26707,32,813
5944,13,32,26717,32,813
5944,14,32,26694,32,812
5944,15,32,26697,32,389
5944,16,32,26703,32,389
5944,17,8,26758,128,97
5944,18,2,26939,512,24
5944,19,8,26758,128,97
5944,20,8,26758,128,97
